name,ap_test_score,mean_ap_train_score,mean_ap_validate_score,f1_test_score,recall_test_score,precision_test_score,accuracy_test_score,Power Transformed
LogisticRegressionElasticNet_Base,0.10726899215883248,0.08627518064600281,0.0860353300012566,0.0,0.0,0.0,0.9828200559938916,"Duration, Net Sales"
LogisticRegressionElasticNet_Base,0.10678877184947157,0.08619760902270913,0.08589014902715164,0.0,0.0,0.0,0.9828200559938916,"Duration, Commission, Net Sales"
LogisticRegressionLasso_Base,0.10530640028746241,0.08679965483267482,0.08581105413066259,0.0,0.0,0.0,0.9828200559938916,"Duration, Commission, Net Sales"
LogisticRegressionLasso_Base,0.10523595230591973,0.08682130735895396,0.08581096709311811,0.0,0.0,0.0,0.9828200559938916,"Duration, Net Sales"
LogisticRegressionRidge_Base,0.10710212360441985,0.0864851183190254,0.08579163371505447,0.0,0.0,0.0,0.9828200559938916,"Duration, Net Sales"
LogisticRegressionElasticNet_Base,0.10521935347851756,0.08629769704532451,0.08564863307386353,0.0,0.0,0.0,0.9828200559938916,Net Sales
LogisticRegressionRidge_Base,0.10491212958357113,0.08653867763109861,0.0855469231656271,0.0,0.0,0.0,0.9828200559938916,Net Sales
LogisticRegressionBase_Base,0.10464421938889774,0.0872101552827839,0.08549824362027544,0.0,0.0,0.0,0.9828200559938916,"Duration, Net Sales"
LogisticRegressionElasticNet_Base,0.10481801693796433,0.08633157757889032,0.08548515416727986,0.0,0.0,0.0,0.9828200559938916,"Commission, Net Sales"
LogisticRegressionElasticNet_Base,0.10831673497710995,0.08591990256638989,0.08548483602332618,0.0,0.0,0.0,0.9828200559938916,"Duration, Net Sales, Age"
LogisticRegressionRidge_Base,0.10622846376567148,0.0863061859535724,0.08547422823848572,0.0,0.0,0.0,0.9828200559938916,"Duration, Commission, Net Sales"
LogisticRegressionBase_Base,0.1049817613091505,0.08713224714614433,0.085438590703135,0.0,0.0,0.0,0.9828200559938916,"Duration, Commission, Net Sales"
LogisticRegressionRidge_Base,0.10465140568022908,0.08653564015152933,0.08542838207105379,0.0,0.0,0.0,0.9828200559938916,"Commission, Net Sales"
