name,ap_test_score,mean_ap_train_score,mean_ap_validate_score,f1_test_score,recall_test_score,precision_test_score,accuracy_test_score
GradientBoost_RandomOverSampler,0.10523818820630654,0.11741961395241182,0.08640210082447193,0.1154979375368297,0.725925925925926,0.06274007682458387,0.8089844744209722
LogisticRegressionElasticNet_Baseline,0.10726899215883248,0.08627519933698295,0.08603529854309909,0.0,0.0,0.0,0.9828200559938916
LogisticRegressionLasso_Baseline,0.10521610812074052,0.0868226400073306,0.08580912130495918,0.0,0.0,0.0,0.9828200559938916
LogisticRegressionBase_Baseline,0.10458109755429168,0.08725744570751129,0.0858014994622892,0.0,0.0,0.0,0.9828200559938916
LogisticRegressionRidge_Baseline,0.10710241984050678,0.08648623923416147,0.08579191857704496,0.0,0.0,0.0,0.9828200559938916
LogisticRegressionLasso_RandomUnderSampler,0.10821589938669979,0.08157556258496718,0.08372390690607386,0.11397720455908818,0.7037037037037037,0.06201044386422976,0.8120386866887249
LogisticRegressionRidge_ClassWeight,0.10487403836110291,0.08540118974282329,0.0828973038839751,0.11540749553837001,0.7185185185185186,0.06274256144890039,0.810766098243828
LogisticRegressionElasticNet_ClassWeight,0.10472483308944623,0.08541093985618041,0.0828889867508087,0.11540749553837001,0.7185185185185186,0.06274256144890039,0.810766098243828
LogisticRegressionElasticNet_RandomUnderSampler,0.11000095380470021,0.08113859176496872,0.08285419874212997,0.11509101585437463,0.725925925925926,0.0625,0.8082209213540341
LogisticRegressionBase_ClassWeight,0.10551743326705798,0.08535365746262942,0.082522962012437,0.1162514827995255,0.725925925925926,0.06318504190844616,0.8103843217103589
LogisticRegressionRidge_SMOTE,0.10315959777823545,0.08500562167714262,0.08250458853001995,0.11616766467065869,0.7185185185185186,0.06319218241042346,0.8121659455332145
LogisticRegressionElasticNet_SMOTE,0.10290419950671711,0.08491273563809063,0.08240961499142012,0.11630695443645084,0.7185185185185186,0.06327462491846053,0.812420463222194
LogisticRegressionRidge_RandomOverSampler,0.10413763955913403,0.0849091453637843,0.08232231690727673,0.11652794292508918,0.725925925925926,0.06334841628959276,0.8108933570883177
LogisticRegressionElasticNet_RandomOverSampler,0.10404372334047211,0.08493462008048377,0.08230878295745167,0.11652794292508918,0.725925925925926,0.06334841628959276,0.8108933570883177
LogisticRegressionLasso_ClassWeight,0.10440357376940149,0.08521285260994838,0.08218584737989415,0.11497005988023952,0.7111111111111111,0.06254071661237785,0.8119114278442352
LogisticRegressionRidge_RandomUnderSampler,0.10977258556101127,0.08086869204177558,0.08210203283762299,0.11288483466362599,0.7333333333333333,0.06114885731933292,0.8019852379740392
LogisticRegressionBase_RandomOverSampler,0.10439630842433241,0.08488343605723894,0.08203169377633421,0.11556603773584906,0.725925925925926,0.06278026905829596,0.8091117332654619
LogisticRegressionBase_RandomUnderSampler,0.11063459799785348,0.08065977197602774,0.08193831168054419,0.11288483466362599,0.7333333333333333,0.06114885731933292,0.8019852379740392
LogisticRegressionBase_SMOTE,0.10312242060881134,0.08463442623438541,0.08190021288882876,0.11540749553837001,0.7185185185185186,0.06274256144890039,0.810766098243828
LogisticRegressionLasso_RandomOverSampler,0.10392321447478073,0.08451668697450207,0.08188131838566633,0.11503894547633313,0.7111111111111111,0.06258148631029987,0.8120386866887249
LogisticRegressionLasso_SMOTE,0.10203393914468187,0.08419787868939518,0.0812741624413491,0.11452682338758288,0.7037037037037037,0.062335958005249346,0.8130567574446425
GradientBoost_SMOTE,0.11145660669067628,0.09415227810508386,0.08098935742223398,0.10877759827679052,0.7481481481481481,0.0586527293844367,0.7893866123695596
