name,ap_test_score,mean_ap_train_score,mean_ap_validate_score,f1_test_score,recall_test_score,precision_test_score,accuracy_test_score
LogisticRegressionBase_Base,0.10456365150234144,0.08720274550599912,0.08369698730290095,0.0,0.0,0.0,0.9828200559938916
LogisticRegressionElasticNet_Base,0.10581817172321323,0.08760468482783797,0.08348490074856763,0.0,0.0,0.0,0.9828200559938916
LogisticRegressionLasso_Base,0.10667140052386116,0.08696886455492668,0.08325632137564506,0.0,0.0,0.0,0.9828200559938916
LogisticRegressionRidge_Base,0.10505016436536731,0.08779944808123989,0.08267172999001324,0.0,0.0,0.0,0.9828200559938916
GradientBoost_Base,0.09851904309983865,0.2176581395802188,0.07641667194444066,0.0,0.0,0.0,0.9823110206159328
AdaBoost_Base,0.07436322325020878,0.07177718291690882,0.06932131506027128,0.0,0.0,0.0,0.9828200559938916
XGBoost_Base,0.07129951204856895,0.5959877666615537,0.06161756512917969,0.0,0.0,0.0,0.9825655383049122
RandomForest_Base,0.045698701412406985,0.9522359819505211,0.04589587264015144,0.03488372093023256,0.022222222222222223,0.08108108108108109,0.9788750318147111
KNearestNeigbor_Base,0.02516688423377316,0.2477532310217402,0.02602006130143581,0.014084507042253521,0.007407407407407408,0.14285714285714285,0.9821837617714431
DecisionTree_Base,0.027446926817164995,0.9615991943656057,0.023757604826855388,0.06756756756756757,0.07407407407407407,0.062111801242236024,0.964876558920845
