name,ap_test_score,mean_ap_train_score,mean_ap_validate_score,f1_test_score,recall_test_score,precision_test_score,accuracy_test_score,TargetEncoded
LogisticRegressionElasticNet_Base,0.10580494683052508,0.0848461243825819,0.08491816080449328,0.0,0.0,0.0,0.9828200559938916,Destination
LogisticRegressionBase_Base,0.10460194662040664,0.08549842698694728,0.08486759949954861,0.0,0.0,0.0,0.9828200559938916,Destination
LogisticRegressionRidge_Base,0.10495012863696407,0.08507957767256594,0.08443820893056829,0.0,0.0,0.0,0.9828200559938916,Destination
LogisticRegressionLasso_Base,0.1060878121730473,0.08432774404086646,0.08442905289871286,0.0,0.0,0.0,0.9828200559938916,Destination
LogisticRegressionLasso_Base,0.11167564854936435,0.07890759286480971,0.08403649174172738,0.0,0.0,0.0,0.9828200559938916,"Product Name, Destination"
LogisticRegressionLasso_Base,0.10634749795972367,0.08345546761339462,0.0839701701285244,0.0,0.0,0.0,0.9828200559938916,"Agency, Destination"
LogisticRegressionBase_Base,0.10456365150234144,0.08720274550599912,0.08369698730290095,0.0,0.0,0.0,0.9828200559938916,None (All OHE)
LogisticRegressionElasticNet_Base,0.10581817172321323,0.08760468482783797,0.08348490074856763,0.0,0.0,0.0,0.9828200559938916,None (All OHE)
GradientBoost_Base,0.10205997697175995,0.17663900267979826,0.08340487699922118,0.0,0.0,0.0,0.9820565029269535,"Agency, Product Name"
LogisticRegressionLasso_Base,0.10667140052386116,0.08696886455492668,0.08325632137564506,0.0,0.0,0.0,0.9828200559938916,None (All OHE)
LogisticRegressionLasso_Base,0.10629340472195895,0.08609703763439211,0.08318292935148155,0.0,0.0,0.0,0.9828200559938916,Agency
LogisticRegressionBase_Base,0.10587134203595393,0.08340797443660689,0.08312275567636027,0.0,0.0,0.0,0.9828200559938916,"Agency, Destination"
LogisticRegressionElasticNet_Base,0.10660573035279075,0.08268010295252116,0.0831039672845172,0.0,0.0,0.0,0.9828200559938916,"Agency, Destination"
LogisticRegressionBase_Base,0.11297397656758543,0.07942405161345384,0.08292843718216433,0.0,0.0,0.0,0.9828200559938916,"Product Name, Destination"
LogisticRegressionElasticNet_Base,0.11202306116682147,0.0790904455983686,0.08278469629936817,0.0,0.0,0.0,0.9828200559938916,"Product Name, Destination"
LogisticRegressionRidge_Base,0.10505016436536731,0.08779944808123989,0.08267172999001324,0.0,0.0,0.0,0.9828200559938916,None (All OHE)
LogisticRegressionRidge_Base,0.10665486596993963,0.0826974866922909,0.08263585135020242,0.0,0.0,0.0,0.9828200559938916,"Agency, Destination"
LogisticRegressionRidge_Base,0.11268120408240861,0.07922164317071491,0.08259219346503825,0.0,0.0,0.0,0.9828200559938916,"Product Name, Destination"
LogisticRegressionBase_Base,0.10621028304143929,0.08654710330696086,0.08226206630245632,0.0,0.0,0.0,0.9828200559938916,Agency
LogisticRegressionElasticNet_Base,0.1066979255300289,0.08557629883299751,0.08186691905263885,0.0,0.0,0.0,0.9828200559938916,Agency
LogisticRegressionElasticNet_Base,0.1076282034754071,0.07935848355081529,0.08185758803322761,0.0,0.0,0.0,0.9828200559938916,Product Name
LogisticRegressionLasso_Base,0.10788672924393647,0.08004484180852925,0.08169742927860482,0.0,0.0,0.0,0.9828200559938916,"Agency, Product Name, Destination"
LogisticRegressionLasso_Base,0.10785013756985073,0.07942044051154544,0.08165677413145392,0.0,0.0,0.0,0.9828200559938916,Product Name
LogisticRegressionRidge_Base,0.10632057838322474,0.08602927507140057,0.0812808614647974,0.0,0.0,0.0,0.9828200559938916,Agency
LogisticRegressionRidge_Base,0.10736925891348821,0.07983247135150913,0.08118934584045638,0.0,0.0,0.0,0.9828200559938916,Product Name
LogisticRegressionBase_Base,0.10830559469676686,0.08006021854690695,0.08098196831230528,0.0,0.0,0.0,0.9828200559938916,Product Name
LogisticRegressionLasso_Base,0.10533552759318078,0.080792201333827,0.08089090055743955,0.0,0.0,0.0,0.9828200559938916,"Agency, Product Name"
GradientBoost_Base,0.10278254145016949,0.18110772132851802,0.08011517210531859,0.0,0.0,0.0,0.9825655383049122,Destination
GradientBoost_Base,0.0981446641282867,0.1565199968909274,0.08009556849342384,0.0,0.0,0.0,0.9826927971494018,"Agency, Product Name, Destination"
GradientBoost_Base,0.1020027313997492,0.17059471677220478,0.07838171442180236,0.0,0.0,0.0,0.9825655383049122,"Agency, Destination"
GradientBoost_Base,0.1064775739345345,0.15193375089934677,0.07818453573594471,0.0,0.0,0.0,0.9826927971494018,"Product Name, Destination"
LogisticRegressionElasticNet_Base,0.10002643923384223,0.07702959247905601,0.077519281283462,0.0,0.0,0.0,0.9828200559938916,"Agency, Product Name"
GradientBoost_Base,0.10156365509944146,0.1789210198907763,0.07742411412571473,0.0,0.0,0.0,0.9825655383049122,Product Name
GradientBoost_Base,0.1008727786497208,0.19871885621909458,0.07729694934776801,0.0,0.0,0.0,0.9821837617714431,Agency
LogisticRegressionElasticNet_Base,0.10053561446333469,0.07560125427474894,0.07724768614181496,0.0,0.0,0.0,0.9828200559938916,"Agency, Product Name, Destination"
LogisticRegressionBase_Base,0.10016573025448777,0.07533313314655535,0.0772089929251848,0.0,0.0,0.0,0.9828200559938916,"Agency, Product Name, Destination"
LogisticRegressionRidge_Base,0.09969348314036786,0.0770785668694613,0.07716407408541884,0.0,0.0,0.0,0.9828200559938916,"Agency, Product Name"
LogisticRegressionBase_Base,0.10076802445674565,0.0772336623317728,0.07699364656019711,0.0,0.0,0.0,0.9828200559938916,"Agency, Product Name"
GradientBoost_Base,0.09851904309983865,0.2176581395802188,0.07641667194444066,0.0,0.0,0.0,0.9823110206159328,None (All OHE)
LogisticRegressionRidge_Base,0.09915476730941754,0.07442889985216083,0.07614565385964976,0.0,0.0,0.0,0.9828200559938916,"Agency, Product Name, Destination"
AdaBoost_Base,0.07436322325020878,0.07188208164662695,0.06936958074643931,0.0,0.0,0.0,0.9828200559938916,Destination
AdaBoost_Base,0.07436322325020878,0.07177718291690882,0.06932131506027128,0.0,0.0,0.0,0.9828200559938916,None (All OHE)
XGBoost_Base,0.07734344497581314,0.4209351289722593,0.06842159657173019,0.013888888888888888,0.007407407407407408,0.1111111111111111,0.9819292440824637,"Agency, Destination"
AdaBoost_Base,0.07289276113292087,0.06897046233362022,0.06673362332801208,0.0,0.0,0.0,0.9828200559938916,"Agency, Product Name"
AdaBoost_Base,0.08669311815112322,0.06801383690990354,0.06577839649255512,0.0,0.0,0.0,0.9828200559938916,"Product Name, Destination"
AdaBoost_Base,0.08575058834388323,0.06882157274621827,0.06574435482388237,0.0,0.0,0.0,0.9828200559938916,Product Name
AdaBoost_Base,0.07643747020347016,0.06853394862165055,0.06545470099132027,0.0,0.0,0.0,0.9828200559938916,Agency
AdaBoost_Base,0.07696931783763217,0.06744028285977241,0.06504289154096218,0.0,0.0,0.0,0.9828200559938916,"Agency, Product Name, Destination"
AdaBoost_Base,0.07643747020347016,0.06597417792267704,0.06458723740947488,0.0,0.0,0.0,0.9828200559938916,"Agency, Destination"
XGBoost_Base,0.08047750064985704,0.45606786134647576,0.06447168133777834,0.014492753623188406,0.007407407407407408,0.3333333333333333,0.9826927971494018,Agency
XGBoost_Base,0.07212942143540424,0.4428199086957315,0.06427872329612092,0.0,0.0,0.0,0.9824382794604225,"Agency, Product Name"
XGBoost_Base,0.06636527302873943,0.46089193038949483,0.06377218771932094,0.0,0.0,0.0,0.9826927971494018,Product Name
XGBoost_Base,0.06425841725160622,0.45255253263640016,0.06190494989779923,0.0,0.0,0.0,0.9821837617714431,Destination
XGBoost_Base,0.07129951204856895,0.5959877666615537,0.06161756512917969,0.0,0.0,0.0,0.9825655383049122,None (All OHE)
XGBoost_Base,0.07077866753854092,0.404841695371314,0.05908308103168782,0.0,0.0,0.0,0.9823110206159328,"Agency, Product Name, Destination"
RandomForest_Base,0.06409270666349204,0.41884795513548373,0.05790031747576685,0.0136986301369863,0.007407407407407408,0.09090909090909091,0.9816747263934843,"Agency, Product Name, Destination"
XGBoost_Base,0.06079357474859406,0.4073457148302193,0.05762214384255959,0.014084507042253521,0.007407407407407408,0.14285714285714285,0.9821837617714431,"Product Name, Destination"
RandomForest_Base,0.04880532995411492,0.5015670071088726,0.053996375488314464,0.0136986301369863,0.007407407407407408,0.09090909090909091,0.9816747263934843,"Agency, Product Name"
RandomForest_Base,0.051130874047152795,0.5109142028985517,0.05240098027641358,0.0,0.0,0.0,0.9816747263934843,"Product Name, Destination"
RandomForest_Base,0.046156590365797286,0.5456111157313008,0.05094125331017633,0.013333333333333334,0.007407407407407408,0.06666666666666667,0.9811656910155255,Destination
RandomForest_Base,0.07320379435522047,0.6255253251861939,0.05070221982522481,0.049689440993788817,0.02962962962962963,0.15384615384615385,0.9805293967930772,Product Name
RandomForest_Base,0.04782084546103339,0.5695927818780668,0.04922239987903559,0.013333333333333334,0.007407407407407408,0.06666666666666667,0.9811656910155255,Agency
RandomForest_Base,0.05960364646953758,0.47622723208856943,0.04662648192261841,0.0,0.0,0.0,0.9824382794604225,"Agency, Destination"
RandomForest_Base,0.045698701412406985,0.9522359819505211,0.04589587264015144,0.03488372093023256,0.022222222222222223,0.08108108108108109,0.9788750318147111,None (All OHE)
KNearestNeigbor_Base,0.025644878135767452,0.22861867814016296,0.027384502782324883,0.014184397163120567,0.007407407407407408,0.16666666666666666,0.9823110206159328,Destination
KNearestNeigbor_Base,0.027211585152722276,0.22920897646814403,0.027140073633617045,0.014184397163120567,0.007407407407407408,0.16666666666666666,0.9823110206159328,"Agency, Destination"
KNearestNeigbor_Base,0.030464748449933767,0.21380601776120053,0.026624255825613195,0.0,0.0,0.0,0.9819292440824637,"Product Name, Destination"
KNearestNeigbor_Base,0.027463160222316402,0.21290886516212099,0.026624026390567428,0.0,0.0,0.0,0.981420208704505,Product Name
KNearestNeigbor_Base,0.026045696886850777,0.22311136836237652,0.02649391927160717,0.014285714285714285,0.007407407407407408,0.2,0.9824382794604225,Agency
KNearestNeigbor_Base,0.02516688423377316,0.2477532310217402,0.02602006130143581,0.014084507042253521,0.007407407407407408,0.14285714285714285,0.9821837617714431,None (All OHE)
KNearestNeigbor_Base,0.02810379747435414,0.21534501768934175,0.0257438411173918,0.0,0.0,0.0,0.9821837617714431,"Agency, Product Name, Destination"
KNearestNeigbor_Base,0.028602542095412097,0.2163429157949217,0.024137538501774018,0.0,0.0,0.0,0.981801985237974,"Agency, Product Name"
DecisionTree_Base,0.027446926817164995,0.9615991943656057,0.023757604826855388,0.06756756756756757,0.07407407407407407,0.062111801242236024,0.964876558920845,None (All OHE)
DecisionTree_Base,0.01770363738997841,0.22821732628552427,0.023507770690557223,0.02572347266881029,0.02962962962962963,0.022727272727272728,0.9614405701196234,"Agency, Destination"
DecisionTree_Base,0.019930718301805095,0.26511955415548705,0.022859555170561895,0.06228373702422145,0.06666666666666667,0.05844155844155844,0.9655128531432935,Destination
DecisionTree_Base,0.024952200708392398,0.14633636503166522,0.02188883171535015,0.07508532423208192,0.08148148148148149,0.06962025316455696,0.9655128531432935,"Agency, Product Name, Destination"
DecisionTree_Base,0.018363206168754656,0.34448254861654987,0.02090192159299341,0.04516129032258064,0.05185185185185185,0.04,0.9623313820310512,Product Name
DecisionTree_Base,0.025738177982529104,0.3857123096149143,0.020778765279061664,0.07885304659498207,0.08148148148148149,0.0763888888888889,0.9672944769661491,Agency
DecisionTree_Base,0.018922514207681214,0.16501994302270998,0.019673105006491724,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.9669127004326801,"Product Name, Destination"
DecisionTree_Base,0.030329082242635134,0.2630650709462697,0.019264001416668137,0.1111111111111111,0.11851851851851852,0.10457516339869281,0.9674217358106388,"Agency, Product Name"
